individual	locus1	locus2	locus3	locus4	locus5	locus6	locus7	locus8	locus9					
S4	S19	1000												
S4	S20	1000												
S4	S21	1000												
S4	S22	1000												
S4	S23	1000												
S4	S28	17500												
S4	S29	17500												
S4	S30	17500												
S4	S30-B	17500												
S4	S30-C	17500												
S4	S31	17500												
S4	S31-B	17500												
S4	S31-C	17500												
S4	S32	17500												
S4	S33	17500												
S4	S34	17500												
S4	S34-B	17500												
S4	S34-D	17500												
S4	S35	17500												
S4	S35-B	17500												
S4	S35-C	17500												
S4	S37	15300												
S4	S38	15300												
S4	S39	15300												
S4	S40	15300												
S4	S41	15300												
S4	S42	15300												
S4	S44	24400												
S4	S45	24400												
S4	S46	24400												
S4	S47	24400												
S4	S49	24400												
S4	S50	30600												
S4	S51	30600												
S4	S52	30600												
S4	S53	30600												
S4	S54	33000												
S4	S55	33000												
S4	S56	33000												
S4	S57	33000												
S4	S58	33000												
S4	S59	33000												
S4	S63	34200												
S4	S64	34200												
S4	S65	34200												
S4	S66	34200												
S4	S67	34200												
S4	S67-B	34200												
S4	S67-C	34200												
S4	S68	34200												
S4	S68-B	34200												
S4	S68-C	34200												
S4	S69	34200												
S4	S70	34200												
S4	S71	34200												
S4-C	S13	1000												
S4-C	S14	1000												
S4-C	S16	1000												
S4-C	S17	1000												
S4-C	S18	1000												
S4-C	S19	1000												
S4-C	S20	1000												
S4-C	S21	1000												
S4-C	S22	1000												
S4-C	S23	1000												
S4-C	S28	17500												
S4-C	S29	17500												
S4-C	S30	17500												
S4-C	S30-B	17500												
S4-C	S30-C	17500												
S4-C	S31	17500												
S4-C	S31-B	17500												
S4-C	S31-C	17500												
S4-C	S32	17500												
S4-C	S33	17500												
S4-C	S34	17500												
S4-C	S34-B	17500												
S4-C	S34-D	17500												
S4-C	S35	17500												
S4-C	S35-B	17500												
S4-C	S35-C	17500												
S4-C	S37	15300												
S4-C	S38	15300												
S4-C	S39	15300												
S4-C	S40	15300												
S4-C	S41	15300												
S4-C	S42	15300												
S4-C	S44	24400												
S4-C	S45	24400												
S4-C	S46	24400												
S4-C	S47	24400												
S4-C	S49	24400												
S4-C	S50	30600												
S4-C	S51	30600												
S4-C	S52	30600												
S4-C	S53	30600												
S4-C	S54	33000												
S4-C	S55	33000												
S4-C	S56	33000												
S4-C	S57	33000												
S4-C	S58	33000												
S4-C	S59	33000												
S4-C	S63	34200												
S4-C	S64	34200												
S4-C	S65	34200												
S4-C	S66	34200												
S4-C	S67	34200												
S4-C	S67-B	34200												
S4-C	S67-C	34200												
S4-C	S68	34200												
S4-C	S68-B	34200												
S4-C	S68-C	34200												
S4-C	S69	34200												
S4-C	S70	34200												
S4-C	S71	34200												
S4-D	S13	1000												
S4-D	S14	1000												
S4-D	S16	1000												
S4-D	S17	1000												
S4-D	S18	1000												
S4-D	S19	1000												
S4-D	S20	1000												
