individual	locus1	locus2	locus3	locus4	locus5	locus6	locus7	locus8	locus9					
V82	V86	1320												
V82	V87	1460												
V83	V83-B	1												
V83	V83-C	1												
V83	V84	600												
V83	V84-B	600												
V83	V84-C	600												
V83	V85	720												
V83	V86	1220												
V83	V87	1360												
V83-B	V83-C	1												
V83-B	V84	600												
V83-B	V84-B	600												
V83-B	V84-C	600												
V83-B	V85	720												
V83-B	V86	1220												
V83-B	V87	1360												
V83-C	V84	600												
V83-C	V84-B	600												
V83-C	V84-C	600												
V83-C	V85	720												
V83-C	V86	1220												
V83-C	V87	1360												
V84	V84-B	1												
V84	V84-C	1												
V84	V85	120												
V84	V86	720												
V84	V87	860												
V84-B	V84-C	1												
V84-B	V85	120												
V84-B	V86	720												
V84-B	V87	860												
V84-C	V85	120												
V84-C	V86	720												
V84-C	V87	860												
V85	V86	500												
V85	V87	640												
V86	V87	140												
V88	V89	60												
V88	V90	220												
V89	V90	160												
V1	V36	25000												
V1	V37	25000												
V1	V38	25000												
V1	V39	25000												
V1	V40	25000												
V1	V41	25000												
V1	V42	25000												
V1	V43	31200												
V1	V44	31200												
V1	V44-B	31200												
V1	V44-C	31200												
V1	V45	31200												
V1	V45-C	31200												
V1	V45-D	31200												
V1	V46	31200												
V1	V47	31200												
V1	V48	31200												
V1	V49	31200												
V1	V53	35500												
V1	V54	35500												
V1	V55	35500												
V1	V56	35500												
V1	V57	35500												
V1	V60	34000												
V1	V60-B	34000												
V1	V60-D	34000												
V1	V61	34000												
V1	V61-B	34000												
V1	V61-C	34000												
V1	V62	34000												
V1	V63	34000												
V1	V64	34000												
V1	V65	34000												
V1	V66	34000												
V1	V67	34000												
V1	V68	34000												
V1	V69	34000												
V1	V80	23100												
V1	V81	23100												
V1	V82	23100												
V1	V83	23100												
V1	V83-B	23100												
V1	V83-C	23100												
V1	V84	23100												
V1	V84-B	23100												
V1	V84-C	23100												
V1	V85	23100												
V1	V86	23100												
V1	V87	23100												
V1	V88	11700												
V1	V89	11700												
V1	V90	11700												
V1-B	V36	25000												
V1-B	V37	25000												
V1-B	V38	25000												
V1-B	V39	25000												
V1-B	V40	25000												
V1-B	V41	25000												
V1-B	V42	25000												
V1-B	V43	31200												
V1-B	V44	31200												
V1-B	V44-B	31200												
V1-B	V44-C	31200												
V1-B	V45	31200												
V1-B	V45-C	31200												
V1-B	V45-D	31200												
V1-B	V46	31200												
V1-B	V47	31200												
V1-B	V48	31200												
V1-B	V49	31200												
V1-B	V53	35500												
V1-B	V54	35500												
V1-B	V55	35500												
V1-B	V56	35500												
V1-B	V57	35500												
V1-B	V60	34000												
V1-B	V60-B	34000												
V1-B	V60-D	34000												
V1-B	V61	34000												
V1-B	V61-B	34000												
V1-B	V61-C	34000												
V1-B	V62	34000												
V1-B	V63	34000												
V1-B	V64	34000												
V1-B	V65	34000												
V1-B	V66	34000												
V1-B	V67	34000												
V1-B	V68	34000												
V1-B	V69	34000												
V1-B	V80	23100												
V1-B	V81	23100												
V1-B	V82	23100												
V1-B	V83	23100												
V1-B	V83-B	23100												
V1-B	V83-C	23100												
V1-B	V84	23100												
V1-B	V84-B	23100												
V1-B	V84-C	23100												
V1-B	V85	23100												
V1-B	V86	23100												
V1-B	V87	23100												
V1-B	V88	11700												
V1-B	V89	11700												
V1-B	V90	11700												
V1-D	V36	25000												
V1-D	V37	25000												
V1-D	V38	25000												
V1-D	V39	25000												
V1-D	V40	25000												
V1-D	V41	25000												
V1-D	V42	25000												
V1-D	V43	31200												
V1-D	V44	31200												
V1-D	V44-B	31200												
V1-D	V44-C	31200												
V1-D	V45	31200												
V1-D	V45-C	31200												
V1-D	V45-D	31200												
V1-D	V46	31200												
V1-D	V47	31200												
V1-D	V48	31200												
V1-D	V49	31200												
V1-D	V53	35500												
V1-D	V54	35500												
V1-D	V55	35500												
V1-D	V56	35500												
V1-D	V57	35500												
V1-D	V60	34000												
V1-D	V60-B	34000												
V1-D	V60-D	34000												
V1-D	V61	34000												
V1-D	V61-B	34000												
V1-D	V61-C	34000												
V1-D	V62	34000												
V1-D	V63	34000												
V1-D	V64	34000												
V1-D	V65	34000												
V1-D	V66	34000												
V1-D	V67	34000												
V1-D	V68	34000												
V1-D	V69	34000												
V1-D	V80	23100												
V1-D	V81	23100												
V1-D	V82	23100												
V1-D	V83	23100												
V1-D	V83-B	23100												
V1-D	V83-C	23100												
V1-D	V84	23100												
V1-D	V84-B	23100												
V1-D	V84-C	23100												
V1-D	V85	23100												
V1-D	V86	23100												
V1-D	V87	23100												
V1-D	V88	11700												
V1-D	V89	11700												
V1-D	V90	11700												
V2	V36	25000												
V2	V37	25000												
V2	V38	25000												
V2	V39	25000												
V2	V40	25000												
V2	V41	25000												
V2	V42	25000												
V2	V43	31200												
V2	V44	31200												
V2	V44-B	31200												
V2	V44-C	31200												
V2	V45	31200												
V2	V45-C	31200												
V2	V45-D	31200												
V2	V46	31200												
V2	V47	31200												
V2	V48	31200												
V2	V49	31200												
V2	V53	35500												
V2	V54	35500												
V2	V55	35500												
V2	V56	35500												
V2	V57	35500												
V2	V60	34000												
V2	V60-B	34000												
V2	V60-D	34000												
V2	V61	34000												
V2	V61-B	34000												
V2	V61-C	34000												
V2	V62	34000												
V2	V63	34000												
V2	V64	34000												
V2	V65	34000												
V2	V66	34000												
V2	V67	34000												
V2	V68	34000												
V2	V69	34000												
V2	V80	23100												
V2	V81	23100												
V2	V82	23100												
V2	V83	23100												
V2	V83-B	23100												
V2	V83-C	23100												
V2	V84	23100												
V2	V84-B	23100												
V2	V84-C	23100												
V2	V85	23100												
V2	V86	23100												
V2	V87	23100												
V2	V88	11700												
V2	V89	11700												
V2	V90	11700												
V2-B	V36	25000												
V2-B	V37	25000												
V2-B	V38	25000												
V2-B	V39	25000												
V2-B	V40	25000												
V2-B	V41	25000												
V2-B	V42	25000												
V2-B	V43	31200												
V2-B	V44	31200												
V2-B	V44-B	31200												
V2-B	V44-C	31200												
V2-B	V45	31200												
V2-B	V45-C	31200												
V2-B	V45-D	31200												
V2-B	V46	31200												
V2-B	V47	31200												
V2-B	V48	31200												
V2-B	V49	31200												
V2-B	V53	35500												
V2-B	V54	35500												
V2-B	V55	35500												
V2-B	V56	35500												
V2-B	V57	35500												
V2-B	V60	34000												
V2-B	V60-B	34000												
V2-B	V60-D	34000												
V2-B	V61	34000												
V2-B	V61-B	34000												
V2-B	V61-C	34000												
V2-B	V62	34000												
V2-B	V63	34000												
V2-B	V64	34000												
V2-B	V65	34000												
V2-B	V66	34000												
V2-B	V67	34000												
V2-B	V68	34000												
V2-B	V69	34000												
V2-B	V80	23100												
V2-B	V81	23100												
V2-B	V82	23100												
V2-B	V83	23100												
V2-B	V83-B	23100												
V2-B	V83-C	23100												
V2-B	V84	23100												
V2-B	V84-B	23100												
V2-B	V84-C	23100												
V2-B	V85	23100												
V2-B	V86	23100												
V2-B	V87	23100												
V2-B	V88	11700												
V2-B	V89	11700												
