individual	locus1	locus2	locus3	locus4	locus5	locus6	locus7	locus8	locus9					
Z1-C	Z10-D	19300												
Z1-C	Z11	19300												
Z1-C	Z11-C	19300												
Z1-C	Z11-D	19300												
Z1-C	Z14	19800												
Z1-C	Z16	19800												
Z1-C	Z17	19800												
Z1-C	Z18	18000												
Z1-C	Z19	18000												
Z1-C	Z20	18000												
Z1-C	Z21	18000												
Z1-C	Z22	18000												
Z1-C	Z23	18000												
Z1-C	Z24	18000												
Z1-C	Z24-C	18000												
Z1-C	Z24-E	18000												
Z1-C	Z26	18000												
Z1-C	Z26-B	18000												
Z1-C	Z26-D	18000												
Z1-C	Z27	36000												
Z1-C	Z28	36000												
Z1-C	Z31	36000												
Z1-C	Z33	36000												
Z1-C	Z37	36000												
Z1-C	Z38	36000												
Z1-C	Z39	36000												
Z1-C	Z41	34400												
Z1-C	Z42	34400												
Z1-C	Z42-C	34400												
Z1-C	Z42-D	34400												
Z1-C	Z43	34400												
Z1-C	Z43-C	34400												
Z1-C	Z43-D	34400												
Z1-C	Z47	90000												
Z1-C	Z49	90000												
Z1-C	Z50	90000												
Z1-C	Z51	90000												
Z1-C	Z52	90000												
Z1-C	Z53	90000												
Z1-C	Z54	90000												
Z1-C	Z55	90000												
Z2	Z3	4400												
Z2	Z4	19300												
Z2	Z5	19300												
Z2	Z6	19300												
Z2	Z7	19300												
Z2	Z8	19300												
Z2	Z9	19300												
Z2	Z10	19300												
Z2	Z10-B	19300												
Z2	Z10-D	19300												
Z2	Z11	19300												
Z2	Z11-C	19300												
Z2	Z11-D	19300												
Z2	Z14	19800												
Z2	Z16	19800												
Z2	Z17	19800												
Z2	Z18	18000												
Z2	Z19	18000												
Z2	Z20	18000												
Z2	Z21	18000												
Z2	Z22	18000												
Z2	Z23	18000												
Z2	Z24	18000												
Z2	Z24-C	18000												
Z2	Z24-E	18000												
Z2	Z26	18000												
Z2	Z26-B	18000												
Z2	Z26-D	18000												
Z2	Z27	36000												
Z2	Z28	36000												
Z2	Z31	36000												
Z2	Z33	36000												
Z2	Z37	36000												
Z2	Z38	36000												
Z2	Z39	36000												
Z2	Z41	34400												
Z2	Z42	34400												
Z2	Z42-C	34400												
Z2	Z42-D	34400												
Z2	Z43	34400												
Z2	Z43-C	34400												
Z2	Z43-D	34400												
Z2	Z47	90000												
Z2	Z49	90000												
Z2	Z50	90000												
Z2	Z51	90000												
Z2	Z52	90000												
Z2	Z53	90000												
Z2	Z54	90000												
Z2	Z55	90000												
Z2-C	Z3	4400												
Z2-C	Z4	19300												
Z2-C	Z5	19300												
Z2-C	Z6	19300												
Z2-C	Z7	19300												
Z2-C	Z8	19300												
Z2-C	Z9	19300												
Z2-C	Z10	19300												
Z2-C	Z10-B	19300												
Z2-C	Z10-D	19300												
Z2-C	Z11	19300												
Z2-C	Z11-C	19300												
Z2-C	Z11-D	19300												
Z2-C	Z14	19800												
Z2-C	Z16	19800												
Z2-C	Z17	19800												
Z2-C	Z18	18000												
Z2-C	Z19	18000												
Z2-C	Z20	18000												
Z2-C	Z21	18000												
Z2-C	Z22	18000												
Z2-C	Z23	18000												
Z2-C	Z24	18000												
Z2-C	Z24-C	18000												
Z2-C	Z24-E	18000												
Z2-C	Z26	18000												
Z2-C	Z26-B	18000												
Z2-C	Z26-D	18000												
Z2-C	Z27	36000												
Z2-C	Z28	36000												
Z2-C	Z31	36000												
Z2-C	Z33	36000												
Z2-C	Z37	36000												
Z2-C	Z38	36000												
Z2-C	Z39	36000												
Z2-C	Z41	34400												
Z2-C	Z42	34400												
Z2-C	Z42-C	34400												
Z2-C	Z42-D	34400												
Z2-C	Z43	34400												
Z2-C	Z43-C	34400												
Z2-C	Z43-D	34400												
Z2-C	Z47	90000												
Z2-C	Z49	90000												
Z2-C	Z50	90000												
Z2-C	Z51	90000												
Z2-C	Z52	90000												
Z2-C	Z53	90000												
Z2-C	Z54	90000												
Z2-C	Z55	90000												
Z2-D	Z3	4400												
Z2-D	Z4	19300												
Z2-D	Z5	19300												
Z2-D	Z6	19300												
Z2-D	Z7	19300												
Z2-D	Z8	19300												
Z2-D	Z9	19300												
Z2-D	Z10	19300												
Z2-D	Z10-B	19300												
Z2-D	Z10-D	19300												
Z2-D	Z11	19300												
Z2-D	Z11-C	19300												
Z2-D	Z11-D	19300												
Z2-D	Z14	19800												
Z2-D	Z16	19800												
Z2-D	Z17	19800												
Z2-D	Z18	18000												
Z2-D	Z19	18000												
Z2-D	Z20	18000												
Z2-D	Z21	18000												
Z2-D	Z22	18000												
Z2-D	Z23	18000												
Z2-D	Z24	18000												
Z2-D	Z24-C	18000												
Z2-D	Z24-E	18000												
Z2-D	Z26	18000												
Z2-D	Z26-B	18000												
Z2-D	Z26-D	18000												
Z2-D	Z27	36000												
Z2-D	Z28	36000												
Z2-D	Z31	36000												
Z2-D	Z33	36000												
Z2-D	Z37	36000												
Z2-D	Z38	36000												
Z2-D	Z39	36000												
Z2-D	Z41	34400												
Z2-D	Z42	34400												
Z2-D	Z42-C	34400												
Z2-D	Z42-D	34400												
Z2-D	Z43	34400												
Z2-D	Z43-C	34400												
Z2-D	Z43-D	34400												
Z2-D	Z47	90000												
Z2-D	Z49	90000												
Z2-D	Z50	90000												
Z2-D	Z51	90000												
Z2-D	Z52	90000												
Z2-D	Z53	90000												
Z2-D	Z54	90000												
Z2-D	Z55	90000												
Z3	Z4	15500												
Z3	Z5	15500												
Z3	Z6	15500												
Z3	Z7	15500												
Z3	Z8	15500												
Z3	Z9	15500												
Z3	Z10	15500												
Z3	Z10-B	15500												
Z3	Z10-D	15500												
Z3	Z11	15500												
Z3	Z11-C	15500												
Z3	Z11-D	15500												
Z3	Z14	15800												
Z3	Z16	15800												
Z3	Z17	15800												
Z3	Z18	13600												
Z3	Z19	13600												
Z3	Z20	13600												
Z3	Z21	13600												
Z3	Z22	13600												
Z3	Z23	13600												
Z3	Z24	13600												
Z3	Z24-C	13600												
Z3	Z24-E	13600												
Z3	Z26	13600												
Z3	Z26-B	13600												
Z3	Z26-D	13600												
Z3	Z27	31700												
Z3	Z28	31700												
Z3	Z31	31700												
Z3	Z33	31700												
Z3	Z37	31700												
Z3	Z38	31700												
Z3	Z39	31700												
Z3	Z41	30000												
Z3	Z42	30000												
Z3	Z42-C	30000												
Z3	Z42-D	30000												
Z3	Z43	30000												
Z3	Z43-C	30000												
Z3	Z43-D	30000												
Z3	Z47	85600												
Z3	Z49	85600												
Z3	Z50	85600												
Z3	Z51	85600												
Z3	Z52	85600												
Z3	Z53	85600												
Z3	Z54	85600												
Z3	Z55	85600												
Z4	Z14	1400												
Z4	Z16	1400												
Z4	Z17	1400												
Z4	Z18	8100												
Z4	Z19	8100												
Z4	Z20	8100												
Z4	Z21	8100												
Z4	Z22	8100												
Z4	Z23	8100												
Z4	Z24	8100												
Z4	Z24-C	8100												
Z4	Z24-E	8100												
Z4	Z26	8100												
Z4	Z26-B	8100												
Z4	Z26-D	8100												
Z4	Z27	17000												
Z4	Z28	17000												
Z4	Z31	17000												
Z4	Z33	17000												
Z4	Z37	17000												
Z4	Z38	17000												
Z4	Z39	17000												
Z4	Z41	15500												
Z4	Z42	15500												
Z4	Z42-C	15500												
Z4	Z42-D	15500												
Z4	Z43	15500												
Z4	Z43-C	15500												
Z4	Z43-D	15500												
Z4	Z47	71300												
Z4	Z49	71300												
Z4	Z50	71300												
Z4	Z51	71300												
Z4	Z52	71300												
Z4	Z53	71300												
Z4	Z54	71300												
Z4	Z55	71300												
Z5	Z14	1400												
Z5	Z16	1400												
Z5	Z17	1400												
Z5	Z18	8100												
Z5	Z19	8100												
Z5	Z20	8100												
Z5	Z21	8100												
Z5	Z22	8100												
Z5	Z23	8100												
Z5	Z24	8100												
Z5	Z24-C	8100												
Z5	Z24-E	8100												
Z5	Z26	8100												
Z5	Z26-B	8100												
Z5	Z26-D	8100												
Z5	Z27	17000												
Z5	Z28	17000												
Z5	Z31	17000												
Z5	Z33	17000												
Z5	Z37	17000												
Z5	Z38	17000												
Z5	Z39	17000												
Z5	Z41	15500												
Z5	Z42	15500												
Z5	Z42-C	15500												
Z5	Z42-D	15500												
Z5	Z43	15500												
Z5	Z43-C	15500												
Z5	Z43-D	15500												
Z5	Z47	71300												
Z5	Z49	71300												
Z5	Z50	71300												
Z5	Z51	71300												
Z5	Z52	71300												
Z5	Z53	71300												
Z5	Z54	71300												
Z5	Z55	71300												
Z6	Z14	1400												
Z6	Z16	1400												
Z6	Z17	1400												
Z6	Z18	8100												
Z6	Z19	8100												
Z6	Z20	8100												
Z6	Z21	8100												
Z6	Z22	8100												
Z6	Z23	8100												
Z6	Z24	8100												
Z6	Z24-C	8100												
Z6	Z24-E	8100												
Z6	Z26	8100												
Z6	Z26-B	8100												
Z6	Z26-D	8100												
Z6	Z27	17000												
Z6	Z28	17000												
Z6	Z31	17000												
Z6	Z33	17000												
Z6	Z37	17000												
Z6	Z38	17000												
Z6	Z39	17000												
Z6	Z41	15500												
Z6	Z42	15500												
Z6	Z42-C	15500												
Z6	Z42-D	15500												
Z6	Z43	15500												
Z6	Z43-C	15500												
Z6	Z43-D	15500												
Z6	Z47	71300												
Z6	Z49	71300												
Z6	Z50	71300												
Z6	Z51	71300												
Z6	Z52	71300												
Z6	Z53	71300												
Z6	Z54	71300												
Z6	Z55	71300												
Z7	Z14	1400												
Z7	Z16	1400												
Z7	Z17	1400												
Z7	Z18	8100												
Z7	Z19	8100												
Z7	Z20	8100												
Z7	Z21	8100												
Z7	Z22	8100												
Z7	Z23	8100												
Z7	Z24	8100												
Z7	Z24-C	8100												
Z7	Z24-E	8100												
Z7	Z26	8100												
Z7	Z26-B	8100												
Z7	Z26-D	8100												
Z7	Z27	17000												
Z7	Z28	17000												
Z7	Z31	17000												
Z7	Z33	17000												
Z7	Z37	17000												
Z7	Z38	17000												
Z7	Z39	17000												
Z7	Z41	15500												
Z7	Z42	15500												
Z7	Z42-C	15500												
Z7	Z42-D	15500												
Z7	Z43	15500												
Z7	Z43-C	15500												
Z7	Z43-D	15500												
Z7	Z47	71300												
Z7	Z49	71300												
Z7	Z50	71300												
Z7	Z51	71300												
Z7	Z52	71300												
Z7	Z53	71300												
Z7	Z54	71300												
Z7	Z55	71300												
Z8	Z14	1400												
Z8	Z16	1400												
Z8	Z17	1400												
Z8	Z18	8100												
Z8	Z19	8100												
Z8	Z20	8100												
Z8	Z21	8100												
Z8	Z22	8100												
Z8	Z23	8100												
Z8	Z24	8100												
Z8	Z24-C	8100												
Z8	Z24-E	8100												
Z8	Z26	8100												
Z8	Z26-B	8100												
Z8	Z26-D	8100												
Z8	Z27	17000												
Z8	Z28	17000												
Z8	Z31	17000												
Z8	Z33	17000												
Z8	Z37	17000												
Z8	Z38	17000												
Z8	Z39	17000												
Z8	Z41	15500												
Z8	Z42	15500												
Z8	Z42-C	15500												
Z8	Z42-D	15500												
Z8	Z43	15500												
Z8	Z43-C	15500												
Z8	Z43-D	15500												
Z8	Z47	71300												
Z8	Z49	71300												
Z8	Z50	71300												
Z8	Z51	71300												
Z8	Z52	71300												
Z8	Z53	71300												
Z8	Z54	71300												
Z8	Z55	71300												
Z9	Z14	1400												
Z9	Z16	1400												
Z9	Z17	1400												
Z9	Z18	8100												
Z9	Z19	8100												
Z9	Z20	8100												
Z9	Z21	8100												
Z9	Z22	8100												
Z9	Z23	8100												
Z9	Z24	8100												
Z9	Z24-C	8100												
Z9	Z24-E	8100												
Z9	Z26	8100												
Z9	Z26-B	8100												
Z9	Z26-D	8100												
Z9	Z27	17000												
Z9	Z28	17000												
Z9	Z31	17000												
Z9	Z33	17000												
Z9	Z37	17000												
Z9	Z38	17000												
Z9	Z39	17000												
Z9	Z41	15500												
Z9	Z42	15500												
Z9	Z42-C	15500												
Z9	Z42-D	15500												
Z9	Z43	15500												
Z9	Z43-C	15500												
