individual	latitude	longitude	locus1	locus2	locus3	locus4	locus5	locus6	locus7	locus8	locus9	locus10	locus11
EM_034	48.8752222	20.2958611	99	240	129	248	174	140	268	189	155	290	201
EM_035	48.8752222	20.2958611	99	240	129	248	174	140	268	189	155	290	201
EM_245	48.8752222	20.2958611	99	240	132	248	172	0	0	0	155	290	201
EM_246	48.8752222	20.2958611	99	240	132	248	172	140	272	219	155	290	201
EM_247	48.8752222	20.2958611	99	240	132	248	172	140	272	219	155	290	201
EM_104	48.8794440	20.2304170	99	240	132	248	172	140	272	219	155	290	201
EM_037	49.1329440	19.6282500	102	240	132	248	172	140	268	237	155	290	201
EM_038	49.1329440	19.6282500	102	240	132	248	172	140	268	237	155	290	201
EM_039	49.1329440	19.6282500	102	240	132	248	172	140	268	237	155	290	201
EM_040	49.1329440	19.6282500	102	240	132	248	172	140	268	237	155	290	201
EM_011	49.1208060	19.7731110	102	240	138	248	174	140	261	189	155	290	201
EM_012	49.1208060	19.7731110	102	240	138	248	174	140	261	189	155	290	201
EM_013	49.1208060	19.7731110	102	240	138	248	174	140	261	189	155	290	201
EM_014	49.1208060	19.7731110	102	240	138	248	174	140	261	189	155	290	201
EM_015	49.1208060	19.7731110	99	240	129	248	173	140	268	237	155	290	201
EM_123	48.9401111	19.3523611	102	225	132	248	172	140	268	189	155	290	201
EM_124	48.9401111	19.3523611	102	225	132	248	172	140	268	189	155	290	201
EM_273	48.9401111	19.3523611	102	242	144	248	172	0	0	0	0	0	0
EM_274	48.9401111	19.3523611	102	242	132	248	172	140	268	207	155	290	201
EM_274	48.9401111	19.3523611	102	242	132	248	172	140	268	207	155	290	201
EM_275	48.9401111	19.3523611	102	242	132	248	172	0	0	0	0	0	0
EM_126	48.9312222	19.3469444	99	235	129	248	195	140	261	221	155	290	201
EM_127	48.9312222	19.3469444	99	235	129	248	195	140	261	221	155	290	201
EM_128	48.9312222	19.3469444	0	0	129	248	195	0	0	0	0	0	0
EM_276	48.9312222	19.3469444	0	0	0	0	0	140	275	191	0	293	201
EM_277	48.9312222	19.3469444	0	0	129	248	195	140	272	191	155	290	201
EM_278	48.9312222	19.3469444	0	0	129	248	195	140	275	191	155	290	201
EM_219	48.9312222	19.3469444	99	235	129	248	195	140	261	221	155	290	201
EM_220	48.9312222	19.3469444	99	235	129	248	195	140	261	221	155	290	201
EM_221	48.9312222	19.3469444	99	235	129	248	195	140	261	221	155	290	201
EM_026	48.9639722	20.1065556	102	240	129	248	172	140	275	189	155	290	201
EM_027	48.9639722	20.1065556	102	240	129	248	172	140	275	189	155	290	201
EM_028	48.9639722	20.1065556	102	240	129	248	172	140	275	189	155	290	201
EM_029	48.9639722	20.1065556	102	240	129	248	172	140	275	189	155	290	201
EM_030	48.9639722	20.1065556	102	240	129	248	172	140	275	189	155	290	201
EM_138	48.9639722	20.1065556	99	242	144	248	172	140	272	235	155	290	201
EM_139	48.9639722	20.1065556	99	242	144	248	172	140	272	235	155	290	201
EM_283	48.9639722	20.1065556	102	240	129	248	172	140	275	189	155	290	201
EM_284	48.9639722	20.1065556	102	240	129	248	172	140	275	189	155	290	201
EM_132	48.9520556	20.1034722	99	235	129	248	172	140	275	239	155	290	198
EM_133	48.9520556	20.1034722	102	225	132	248	174	140	272	189	155	286	201
EM_134	48.9520556	20.1034722	99	235	129	248	172	140	275	239	155	290	198
EM_240	48.9520556	20.1034722	99	235	132	248	172	140	0	209	155	290	201
EM_241	48.9520556	20.1034722	99	235	132	248	172	0	0	0	0	0	0
EM_228	49.1110833	19.8804167	102	240	144	248	178	140	275	189	155	290	201
EM_229	49.1110833	19.8804167	99	227	138	248	195	140	268	189	155	290	201
EM_230	49.1110833	19.8804167	102	240	144	248	178	140	275	189	155	290	201
EM_096	49.1242222	19.8499444	102	244	129	261	185	140	268	241	155	290	201
EM_097	49.1242222	19.8499444	102	244	144	248	174	140	268	239	155	290	201
EM_098	49.1242222	19.8499444	102	242	132	248	172	140	268	207	155	290	201
EM_114	49.1091111	19.8108333	102	237	132	248	172	140	272	221	155	290	201
EM_115	49.1091111	19.8108333	102	240	144	248	172	140	272	189	155	290	201
EM_116	49.1091111	19.8108333	102	240	144	248	172	0	0	0	0	0	0
EM_222	49.1091111	19.8108333	102	240	144	248	172	140	272	189	155	290	201
EM_223	49.1091111	19.8108333	102	240	144	248	172	140	272	189	155	290	201
EM_224	49.1091111	19.8108333	102	240	144	248	172	140	272	189	155	290	201
EM_270	49.1091111	19.8108333	102	240	144	248	172	140	272	189	155	290	201
EM_271	49.1091111	19.8108333	102	240	0	0	0	140	272	189	0	290	201
EM_272	49.1091111	19.8108333	102	240	0	0	0	140	272	189	0	290	201
EM_016	49.2785000	19.2527500	102	240	138	248	172	140	268	231	155	290	201
EM_017	49.2785000	19.2527500	102	240	138	248	172	140	268	231	155	290	201
EM_018	49.2785000	19.2527500	102	240	138	248	172	140	268	231	155	290	201
EM_019	49.2785000	19.2527500	102	240	138	248	172	140	268	231	155	290	201
EM_020	49.2785000	19.2527500	102	240	138	248	172	140	268	231	155	290	201
EM_231	49.1110278	19.7711667	99	240	129	248	172	140	268	235	155	290	201
EM_232	49.1110278	19.7711667	99	240	129	248	172	140	268	235	155	290	201
EM_233	49.1110278	19.7711667	99	240	129	248	172	140	268	235	155	290	201
EM_105	48.8535833	20.1815278	102	255	132	248	174	140	272	189	155	290	201
EM_106	48.8535833	20.1815278	102	255	132	248	174	140	272	189	155	290	201
EM_107	48.8535833	20.1815278	102	255	132	248	174	140	272	189	155	290	201
												
													
													
